Time,Altitude,Vertical Velocity,Horizontal Velocity,Total Velocity,Drag,Displacement,Engine Thrust,Vacuum Thrust,Air Temperature,Mass,Pitch,Heading,Roll
3.580000003334135,86.00832716177683,0.438931605269155,0.029133385477928556,0.41932066184895345,1.5852870779471007,0.020023760140195516,5904530.0,11180000.0,306.6601867675781,547239.125,89.903076171875,271.6687316894531,-90.0
3.760000003501773,86.07701694348361,0.5848595281867769,0.02314625990875471,0.5644194838587405,3.6863985639483965,0.023754821553249195,5907497.0,11180000.0,306.65972900390625,546838.3125,89.8658447265625,71.86474609375,69.63037109375
3.8800000036135316,86.15220053936355,0.7111963705831444,0.01728832832624764,0.6903172402541982,6.378799464920586,0.02623233505920962,5908292.0,11180000.0,306.65924072265625,546494.625,89.83685302734375,72.14159393310547,69.42068481445312
4.020000003743917,86.25912029843312,0.8596791054338035,0.010637375176597262,0.838478222827757,10.261864791089213,0.028377847397404475,5908304.0,11180000.0,306.6585388183594,546093.6875,89.81869506835938,72.30526733398438,69.00663757324219
4.160000003874302,86.38687349657994,1.009273860844916,0.0069278565793469546,0.9878602835733246,15.31568199035122,0.029137992982618238,5908320.0,11180000.0,306.65765380859375,545692.75,89.80023193359375,72.46891784667969,68.5987548828125
4.300000004004687,86.53561682859436,1.159982967503882,0.01047737681994946,1.1600302842271573,20.102696971621615,0.028873874962712428,5908338.5,11180000.0,306.6565856933594,545291.8125,89.78421020507812,72.5485610961914,68.12477111816406
4.440000004135072,86.73151131719351,1.3118109818433443,0.017461436947573693,1.311927190763677,25.55975186613398,0.027608369687923056,5908359.0,11180000.0,306.65533447265625,544890.875,89.7718505859375,72.63121795654297,67.61309814453125
4.580000004265457,86.92576023074798,1.464765778848479,0.02462283505915437,1.4649727201869465,31.88369950622051,0.02546851972023883,5908382.5,11180000.0,306.6539306640625,544489.9375,89.760986328125,72.69309997558594,67.15274047851562
4.7200000043958426,87.14149194420315,1.6188467301371279,0.03208960373721495,1.6191647471284947,38.786927705954476,0.022646131401670926,5908408.0,11180000.0,306.6521301269531,544088.9375,89.756103515625,72.74946594238281,66.71980285644531
4.860000004526228,87.3788655604003,1.774057536674307,0.039426351955953905,1.774495584852063,46.29932455220084,0.019512081439525136,5908436.5,11180000.0,306.6503601074219,543688.0,89.7513427734375,72.82894897460938,66.329345703125
5.000000004656613,87.63803852838464,1.930400041458576,0.04675208980241933,1.9309660996413598,54.467904514049806,0.01685807600351424,5908467.0,11180000.0,306.6484069824219,543287.0625,89.7451171875,72.92033386230469,65.965087890625
5.140000004786998,87.91917022736743,2.08912700301582,0.05410556894251617,2.0898275161650197,63.32925658102772,0.01617124177459126,5908502.0,11180000.0,306.646240234375,542886.125,89.74435424804688,73.02238464355469,65.62232971191406
5.317169270478189,88.30723591765855,2.3022051888808996,0.06343238687261267,2.30307889561224,75.49905804431091,0.02061396983099146,5908546.0,11180000.0,306.6432189941406,542378.75,89.74359130859375,72.61126708984375,64.63533020019531
5.583566060289741,88.96012692223303,2.626559899010996,0.07993558061636484,2.6277012144512284,96.10149478464925,0.03675755099793798,5908634.0,11180000.0,306.63818359375,541479.125,89.7451171875,72.12071990966797,63.306365966796875
5.984128575772047,90.32594454428181,3.308562370416504,0.10517069880725578,3.2149944533110713,139.6499417572785,0.08022781650296809,5908800.0,11180000.0,306.6274108886719,540045.3125,89.7513427734375,72.21211242675781,61.95207214355469
6.6919433651492,92.59134443337098,4.083442110051364,0.13898296733069077,3.9875601220032855,214.93728380756247,0.15581818492015942,5909077.0,11180000.0,306.60955810546875,538212.4375,89.749755859375,79.47592163085938,67.39402770996094
7.331943365745246,95.37026673997752,4.882638726219474,0.17015994490039568,4.784308005764415,309.4640360591229,0.25208232083778526,5909416.0,11180000.0,306.58758544921875,536379.5625,89.75772094726562,79.04817199707031,65.13943481445312
7.891943366266787,98.22491674881894,5.602046028775335,0.19635904731021425,5.501484796367904,408.45404988971615,0.3524944727711636,5909764.5,11180000.0,306.5648193359375,534775.8125,89.76260375976562,81.2381591796875,65.72364807128906
8.531943366862833,101.9850497659063,6.447418424263972,0.22507082064086786,6.344249861331258,540.9644855232171,0.5029717332251432,5910223.0,11180000.0,306.5346984863281,532942.875,89.76846313476562,83.29385375976562,65.93659973144531
9.091943367384374,105.7225637063384,7.207583920593034,0.2528863768475886,7.102071473423078,675.34631425915,0.6359424478553055,5910748.0,11180000.0,306.5046691894531,531110.0,89.77532958984375,85.38621520996094,66.40660095214844
9.811943368054926,110.51970542559866,7.987017590603566,0.27321608433511596,7.991689247045971,850.9091173651752,0.7823209882853582,5911263.0,11180000.0,306.4659423828125,529506.25,89.77883911132812,87.74847412109375,66.90499877929688
10.291943368501961,114.49482575827278,8.670556591165292,0.2962696274664804,8.675506079733456,998.8168058914384,0.9181387892788757,5911747.5,11180000.0,306.4339599609375,528131.5625,89.78329467773438,89.53490447998047,67.28724670410156
10.851943369023502,119.55129260150716,9.48619213076324,0.31864014730506407,9.491440120729123,1189.9790875130827,1.0883117003991047,5912363.0,11180000.0,306.3930358886719,526527.8125,89.78692626953125,91.7227783203125,67.82664489746094
11.331943369470537,124.25232256297022,10.201008490979039,0.3371026016612391,10.206475356259054,1370.0696012348692,1.243808298564842,5912934.0,11180000.0,306.3549499511719,525153.125,89.7906494140625,93.64691162109375,68.33256530761719
11.891943369992077,130.17472516314592,11.053419314724934,0.35781088834925107,11.05911594590641,1601.4173272433757,1.436144066815944,5913653.0,11180000.0,306.306884765625,523549.375,89.79632568359375,95.91703033447266,68.93746948242188
